ID;TravelMotives;TravelModes;RegionCharacteristics;Periods;Trips_1;DistanceTravelled_2;TimeTravelled_3
10000;2030170;A048583;PV31    ;2022JJ00;    0.26;    5.62;    6.80
10001;2030170;A048583;PV31    ;2023JJ00;    0.25;    5.15;    6.33
10326;2030170;A048584;PV20    ;2018JJ00;       .;       .;       .
10327;2030170;A048584;PV20    ;2019JJ00;       .;       .;       .
10328;2030170;A048584;PV20    ;2020JJ00;       .;       .;       .
10329;2030170;A048584;PV20    ;2021JJ00;       .;       .;       .
10330;2030170;A048584;PV20    ;2022JJ00;       .;       .;       .
10331;2030170;A048584;PV20    ;2023JJ00;       .;       .;       .
10332;2030170;A048584;PV21    ;2018JJ00;       .;       .;       .
10333;2030170;A048584;PV21    ;2019JJ00;       .;       .;       .
10334;2030170;A048584;PV21    ;2020JJ00;       .;       .;       .
10335;2030170;A048584;PV21    ;2021JJ00;       .;       .;       .
10336;2030170;A048584;PV21    ;2022JJ00;       .;       .;       .
10337;2030170;A048584;PV21    ;2023JJ00;       .;       .;       .
10338;2030170;A048584;PV22    ;2018JJ00;       .;       .;       .
10339;2030170;A048584;PV22    ;2019JJ00;       .;       .;       .
10340;2030170;A048584;PV22    ;2020JJ00;       .;       .;       .
10341;2030170;A048584;PV22    ;2021JJ00;       .;       .;       .
10342;2030170;A048584;PV22    ;2022JJ00;       .;       .;       .
10343;2030170;A048584;PV22    ;2023JJ00;       .;       .;       .
10344;2030170;A048584;PV23    ;2018JJ00;       .;       .;       .
10345;2030170;A048584;PV23    ;2019JJ00;       .;       .;       .
10346;2030170;A048584;PV23    ;2020JJ00;       .;       .;       .
10347;2030170;A048584;PV23    ;2021JJ00;       .;       .;       .
10348;2030170;A048584;PV23    ;2022JJ00;       .;       .;       .
10349;2030170;A048584;PV23    ;2023JJ00;       .;       .;       .
10350;2030170;A048584;PV24    ;2018JJ00;       .;       .;       .
10351;2030170;A048584;PV24    ;2019JJ00;       .;       .;       .
10352;2030170;A048584;PV24    ;2020JJ00;       .;       .;       .
10353;2030170;A048584;PV24    ;2021JJ00;       .;       .;       .
10354;2030170;A048584;PV24    ;2022JJ00;       .;       .;       .
10355;2030170;A048584;PV24    ;2023JJ00;       .;       .;       .
10356;2030170;A048584;PV25    ;2018JJ00;    0.02;    0.47;    0.55
10357;2030170;A048584;PV25    ;2019JJ00;       .;       .;       .
10358;2030170;A048584;PV25    ;2020JJ00;       .;       .;       .
10359;2030170;A048584;PV25    ;2021JJ00;    0.02;    0.37;    0.50
10360;2030170;A048584;PV25    ;2022JJ00;    0.02;    0.43;    0.53
10361;2030170;A048584;PV25    ;2023JJ00;    0.01;    0.43;    0.54
10362;2030170;A048584;PV26    ;2018JJ00;       .;       .;       .
10363;2030170;A048584;PV26    ;2019JJ00;       .;       .;       .
10364;2030170;A048584;PV26    ;2020JJ00;       .;       .;       .
10365;2030170;A048584;PV26    ;2021JJ00;    0.01;    0.26;    0.37
10366;2030170;A048584;PV26    ;2022JJ00;    0.01;    0.25;    0.35
10367;2030170;A048584;PV26    ;2023JJ00;    0.01;    0.29;    0.38
10368;2030170;A048584;PV27    ;2018JJ00;    0.02;    0.36;    0.56
10369;2030170;A048584;PV27    ;2019JJ00;    0.02;    0.34;    0.50
10370;2030170;A048584;PV27    ;2020JJ00;    0.01;    0.27;    0.35
10371;2030170;A048584;PV27    ;2021JJ00;    0.01;    0.26;    0.37
10372;2030170;A048584;PV27    ;2022JJ00;    0.01;    0.22;    0.30
10373;2030170;A048584;PV27    ;2023JJ00;    0.02;    0.31;    0.48
10374;2030170;A048584;PV28    ;2018JJ00;    0.02;    0.37;    0.59
10375;2030170;A048584;PV28    ;2019JJ00;    0.02;    0.36;    0.50
10376;2030170;A048584;PV28    ;2020JJ00;    0.01;    0.19;    0.31
10377;2030170;A048584;PV28    ;2021JJ00;    0.01;    0.21;    0.38
10378;2030170;A048584;PV28    ;2022JJ00;    0.01;    0.19;    0.30
10379;2030170;A048584;PV28    ;2023JJ00;    0.01;    0.31;    0.49
10380;2030170;A048584;PV29    ;2018JJ00;       .;       .;       .
10381;2030170;A048584;PV29    ;2019JJ00;       .;       .;       .
10382;2030170;A048584;PV29    ;2020JJ00;       .;       .;       .
10383;2030170;A048584;PV29    ;2021JJ00;       .;       .;       .
10384;2030170;A048584;PV29    ;2022JJ00;       .;       .;       .
10385;2030170;A048584;PV29    ;2023JJ00;       .;       .;       .
10386;2030170;A048584;PV30    ;2018JJ00;    0.02;    0.46;    0.62
10387;2030170;A048584;PV30    ;2019JJ00;    0.02;    0.32;    0.46
10388;2030170;A048584;PV30    ;2020JJ00;    0.01;    0.27;    0.34
10389;2030170;A048584;PV30    ;2021JJ00;    0.01;       .;    0.36
10390;2030170;A048584;PV30    ;2022JJ00;       .;       .;       .
10391;2030170;A048584;PV30    ;2023JJ00;    0.02;    0.30;    0.46
10392;2030170;A048584;PV31    ;2018JJ00;       .;       .;       .
10393;2030170;A048584;PV31    ;2019JJ00;       .;       .;       .
10394;2030170;A048584;PV31    ;2020JJ00;       .;       .;       .
10395;2030170;A048584;PV31    ;2021JJ00;       .;       .;       .
10396;2030170;A048584;PV31    ;2022JJ00;       .;       .;       .
10397;2030170;A048584;PV31    ;2023JJ00;       .;       .;       .
10722;2030170;A018981;PV20    ;2018JJ00;       .;       .;       .
10723;2030170;A018981;PV20    ;2019JJ00;       .;       .;       .
10724;2030170;A018981;PV20    ;2020JJ00;       .;       .;       .
10725;2030170;A018981;PV20    ;2021JJ00;       .;       .;       .
10726;2030170;A018981;PV20    ;2022JJ00;       .;       .;       .
10727;2030170;A018981;PV20    ;2023JJ00;       .;       .;       .
10728;2030170;A018981;PV21    ;2018JJ00;       .;       .;       .
10729;2030170;A018981;PV21    ;2019JJ00;       .;       .;       .
10730;2030170;A018981;PV21    ;2020JJ00;       .;       .;       .
10731;2030170;A018981;PV21    ;2021JJ00;       .;       .;       .
10732;2030170;A018981;PV21    ;2022JJ00;       .;       .;       .
10733;2030170;A018981;PV21    ;2023JJ00;       .;       .;       .
10734;2030170;A018981;PV22    ;2018JJ00;       .;       .;       .
10735;2030170;A018981;PV22    ;2019JJ00;       .;       .;       .
10736;2030170;A018981;PV22    ;2020JJ00;       .;       .;       .
10737;2030170;A018981;PV22    ;2021JJ00;       .;       .;       .
10738;2030170;A018981;PV22    ;2022JJ00;       .;       .;       .
10739;2030170;A018981;PV22    ;2023JJ00;       .;       .;       .
10740;2030170;A018981;PV23    ;2018JJ00;       .;       .;       .
10741;2030170;A018981;PV23    ;2019JJ00;       .;       .;       .
10742;2030170;A018981;PV23    ;2020JJ00;       .;       .;       .
10743;2030170;A018981;PV23    ;2021JJ00;       .;       .;       .
10744;2030170;A018981;PV23    ;2022JJ00;       .;       .;       .
10745;2030170;A018981;PV23    ;2023JJ00;       .;       .;       .
10746;2030170;A018981;PV24    ;2018JJ00;    0.07;    3.32;    5.23
10747;2030170;A018981;PV24    ;2019JJ00;       .;       .;       .
10748;2030170;A018981;PV24    ;2020JJ00;       .;       .;       .
10749;2030170;A018981;PV24    ;2021JJ00;       .;       .;       .
10750;2030170;A018981;PV24    ;2022JJ00;       .;       .;       .
10751;2030170;A018981;PV24    ;2023JJ00;       .;       .;       .
10752;2030170;A018981;PV25    ;2018JJ00;    0.03;    1.35;    2.16
10753;2030170;A018981;PV25    ;2019JJ00;    0.03;    0.98;    1.71
10754;2030170;A018981;PV25    ;2020JJ00;       .;       .;       .
10755;2030170;A018981;PV25    ;2021JJ00;       .;       .;       .
10756;2030170;A018981;PV25    ;2022JJ00;    0.02;    0.97;    1.52
10757;2030170;A018981;PV25    ;2023JJ00;    0.02;    1.16;    1.81
10758;2030170;A018981;PV26    ;2018JJ00;    0.06;    2.09;    3.56
10759;2030170;A018981;PV26    ;2019JJ00;    0.06;    2.45;    3.99
10760;2030170;A018981;PV26    ;2020JJ00;    0.02;    0.81;    1.49
10761;2030170;A018981;PV26    ;2021JJ00;    0.02;    0.71;    1.24
10762;2030170;A018981;PV26    ;2022JJ00;    0.03;    1.20;    1.95
10763;2030170;A018981;PV26    ;2023JJ00;    0.04;    1.61;    2.61
10764;2030170;A018981;PV27    ;2018JJ00;    0.06;    2.03;    3.73
10765;2030170;A018981;PV27    ;2019JJ00;    0.06;    2.01;    3.68
10766;2030170;A018981;PV27    ;2020JJ00;    0.02;    0.84;    1.52
10767;2030170;A018981;PV27    ;2021JJ00;    0.02;    0.62;    1.11
10768;2030170;A018981;PV27    ;2022JJ00;    0.02;    0.88;    1.63
10769;2030170;A018981;PV27    ;2023JJ00;    0.03;    1.14;    2.17
10770;2030170;A018981;PV28    ;2018JJ00;    0.04;    1.58;    2.75
10771;2030170;A018981;PV28    ;2019JJ00;    0.04;    1.45;    2.53
10772;2030170;A018981;PV28    ;2020JJ00;    0.01;    0.47;    0.86
10773;2030170;A018981;PV28    ;2021JJ00;    0.01;    0.40;    0.77
10774;2030170;A018981;PV28    ;2022JJ00;    0.02;    0.77;    1.54
10775;2030170;A018981;PV28    ;2023JJ00;    0.03;    1.11;    2.01
10776;2030170;A018981;PV29    ;2018JJ00;       .;       .;       .
10777;2030170;A018981;PV29    ;2019JJ00;       .;       .;       .
10778;2030170;A018981;PV29    ;2020JJ00;       .;       .;       .
10779;2030170;A018981;PV29    ;2021JJ00;       .;       .;       .
10780;2030170;A018981;PV29    ;2022JJ00;       .;       .;       .
10781;2030170;A018981;PV29    ;2023JJ00;       .;       .;       .
10782;2030170;A018981;PV30    ;2018JJ00;    0.02;    0.94;    1.34
10783;2030170;A018981;PV30    ;2019JJ00;    0.02;    1.18;    1.73
10784;2030170;A018981;PV30    ;2020JJ00;       .;       .;       .
10785;2030170;A018981;PV30    ;2021JJ00;       .;       .;       .
10786;2030170;A018981;PV30    ;2022JJ00;       .;       .;       .
10787;2030170;A018981;PV30    ;2023JJ00;    0.02;    1.17;    1.68
10788;2030170;A018981;PV31    ;2018JJ00;       .;       .;       .
10789;2030170;A018981;PV31    ;2019JJ00;       .;       .;       .
10790;2030170;A018981;PV31    ;2020JJ00;       .;       .;       .
10791;2030170;A018981;PV31    ;2021JJ00;       .;       .;       .
10792;2030170;A018981;PV31    ;2022JJ00;       .;       .;       .
10793;2030170;A018981;PV31    ;2023JJ00;       .;       .;       .
11118;2030170;A018982;PV20    ;2018JJ00;       .;       .;       .
11119;2030170;A018982;PV20    ;2019JJ00;       .;       .;       .
11120;2030170;A018982;PV20    ;2020JJ00;       .;       .;       .
11121;2030170;A018982;PV20    ;2021JJ00;       .;       .;       .
11122;2030170;A018982;PV20    ;2022JJ00;       .;       .;       .
11123;2030170;A018982;PV20    ;2023JJ00;       .;       .;       .
11124;2030170;A018982;PV21    ;2018JJ00;       .;       .;       .
11125;2030170;A018982;PV21    ;2019JJ00;       .;       .;       .
11126;2030170;A018982;PV21    ;2020JJ00;       .;       .;       .
11127;2030170;A018982;PV21    ;2021JJ00;       .;       .;       .
11128;2030170;A018982;PV21    ;2022JJ00;       .;       .;       .
11129;2030170;A018982;PV21    ;2023JJ00;       .;       .;       .
11130;2030170;A018982;PV22    ;2018JJ00;       .;       .;       .
11131;2030170;A018982;PV22    ;2019JJ00;       .;       .;       .
11132;2030170;A018982;PV22    ;2020JJ00;       .;       .;       .
11133;2030170;A018982;PV22    ;2021JJ00;       .;       .;       .
11134;2030170;A018982;PV22    ;2022JJ00;       .;       .;       .
11135;2030170;A018982;PV22    ;2023JJ00;       .;       .;       .
11136;2030170;A018982;PV23    ;2018JJ00;       .;       .;       .
11137;2030170;A018982;PV23    ;2019JJ00;       .;       .;       .
11138;2030170;A018982;PV23    ;2020JJ00;       .;       .;       .
11139;2030170;A018982;PV23    ;2021JJ00;       .;       .;       .
11140;2030170;A018982;PV23    ;2022JJ00;       .;       .;       .
11141;2030170;A018982;PV23    ;2023JJ00;       .;       .;       .
11142;2030170;A018982;PV24    ;2018JJ00;       .;       .;       .
11143;2030170;A018982;PV24    ;2019JJ00;       .;       .;       .
11144;2030170;A018982;PV24    ;2020JJ00;       .;       .;       .
11145;2030170;A018982;PV24    ;2021JJ00;       .;       .;       .
11146;2030170;A018982;PV24    ;2022JJ00;       .;       .;       .
11147;2030170;A018982;PV24    ;2023JJ00;       .;       .;       .
11148;2030170;A018982;PV25    ;2018JJ00;       .;       .;       .
11149;2030170;A018982;PV25    ;2019JJ00;       .;       .;       .
11150;2030170;A018982;PV25    ;2020JJ00;       .;       .;       .
11151;2030170;A018982;PV25    ;2021JJ00;       .;       .;       .
11152;2030170;A018982;PV25    ;2022JJ00;       .;       .;       .
11153;2030170;A018982;PV25    ;2023JJ00;       .;       .;       .
11154;2030170;A018982;PV26    ;2018JJ00;       .;       .;       .
11155;2030170;A018982;PV26    ;2019JJ00;       .;       .;       .
11156;2030170;A018982;PV26    ;2020JJ00;       .;       .;       .
11157;2030170;A018982;PV26    ;2021JJ00;       .;       .;       .
11158;2030170;A018982;PV26    ;2022JJ00;    0.01;    0.19;    0.53
11159;2030170;A018982;PV26    ;2023JJ00;    0.01;    0.20;    0.53
11160;2030170;A018982;PV27    ;2018JJ00;    0.05;    0.73;    2.12
11161;2030170;A018982;PV27    ;2019JJ00;    0.04;    0.68;    1.94
11162;2030170;A018982;PV27    ;2020JJ00;    0.02;    0.27;    0.96
11163;2030170;A018982;PV27    ;2021JJ00;    0.02;    0.24;    0.86
11164;2030170;A018982;PV27    ;2022JJ00;    0.03;    0.35;    1.12
11165;2030170;A018982;PV27    ;2023JJ00;    0.03;    0.45;    1.30
